year,survey,stratum,hauljoin,lat_mid,long_mid
2005,47,13,-12940,54.90054,-158.75635
2005,47,13,-12942,55.114775,-159.43715
2005,47,13,-12943,54.84243,-159.78705
2005,47,13,-12944,55.01304,-159.979655
2005,47,112,-12945,55.461815,-159.653945
2005,47,12,-12946,55.52581,-160.261505
2005,47,12,-12947,55.54755,-159.545995
2005,47,12,-12948,55.635905,-159.53565
2005,47,120,-12949,55.70714,-159.08785
2005,47,120,-12950,55.73315,-158.9834
2005,47,120,-12951,55.51972,-158.746905
2005,47,120,-12952,55.59553,-158.4631
2005,47,120,-12953,55.56718,-158.3659
2005,47,120,-12954,55.996735,-157.838305
2005,47,21,-12955,55.472155,-157.745595
2005,47,21,-12956,55.42707,-157.4683
2005,47,21,-12958,55.356935,-157.68025
2005,47,21,-12959,55.29786,-157.551895
2005,47,21,-12960,55.2668,-157.446945
2005,47,122,-12962,54.863065,-158.00485
2005,47,221,-12963,54.848525,-157.67895
2005,47,320,-12964,54.83754,-157.5469
2005,47,420,-12965,54.802785,-157.6196
2005,47,320,-12966,54.905325,-157.321205
2005,47,320,-12968,55.093535,-156.886795
2005,47,21,-12969,55.480875,-156.952905
2005,47,21,-12970,55.511315,-156.9608
2005,47,121,-12971,55.680415000000004,-156.797005
2005,47,121,-12972,56.16218,-156.575655
2005,47,220,-12973,56.230855,-156.299995
2005,47,220,-12974,56.31276,-156.33646
2005,47,121,-12975,56.24696,-156.5645
2005,47,121,-12976,56.448915,-156.56405
2005,47,122,-12978,55.27821,-156.593255
2005,47,121,-12979,55.39312,-156.686455
2005,47,122,-12980,55.3419,-156.393405
2005,47,320,-12981,55.18168,-156.419655
2005,47,122,-12982,55.529175,-155.959955
2005,47,122,-12983,55.57774,-155.949545
2005,47,122,-12984,55.615385,-155.82585
2005,47,121,-12985,55.726755,-155.977655
2005,47,121,-12986,55.91885,-156.05245
2005,47,220,-12987,56.674545,-156.0587
2005,47,220,-12988,56.495675,-155.898595
2005,47,121,-12989,56.50033,-155.657055
2005,47,22,-12990,56.353415,-155.475545
2005,47,22,-12991,56.37888,-155.4001
2005,47,121,-12992,56.586845,-155.491645
2005,47,22,-12993,56.57924,-155.397805
2005,47,121,-12994,56.969235,-155.0594
2005,47,121,-12995,56.932895,-155.10585
2005,47,220,-12996,56.857425,-155.43625
2005,47,220,-12997,56.83244,-155.36585
2005,47,121,-12998,56.72055,-155.322405
2005,47,22,-12999,56.61232,-155.184195
2005,47,22,-13000,56.581615,-155.26325
2005,47,22,-13001,56.581275,-155.088345
2005,47,22,-13003,56.37704,-155.2052
2005,47,22,-13004,56.365575,-155.325805
2005,47,221,-13005,55.70398,-155.21465
2005,47,420,-13006,55.626035,-155.162005
2005,47,320,-13007,55.7968,-154.9765
2005,47,122,-13008,55.86566,-155.02285
2005,47,122,-13009,55.94098,-154.969005
2005,47,320,-13010,55.886735,-154.90781
2005,47,420,-13011,55.968515,-154.5832
2005,47,420,-13012,55.92513,-154.31855
2005,47,122,-13013,56.11993,-154.4494
2005,47,22,-13014,56.40537,-154.521445
2005,47,22,-13015,56.42752,-154.500495
2005,47,22,-13016,56.428465,-154.40915
2005,47,22,-13017,56.34956,-154.3807
2005,47,122,-13018,56.20171,-154.35705
2005,47,122,-13019,56.287855,-154.05475
2005,47,231,-13020,56.14635,-153.7993
2005,47,31,-13021,56.470755,-153.987755
2005,47,30,-13022,56.575725,-153.9897
2005,47,31,-13023,56.609815,-153.744445
2005,47,130,-13024,56.900285,-153.45855
2005,47,30,-13025,57.080285,-153.617645
2005,47,30,-13026,57.165475,-153.48535
2005,47,130,-13027,56.988865,-152.72415
2005,47,130,-13028,57.09082,-152.7427
2005,47,130,-13029,57.164055,-152.4697
2005,47,130,-13030,57.127685,-152.443355
2005,47,30,-13031,57.316065,-153.056545
2005,47,31,-13032,57.27326,-152.26165
2005,47,31,-13033,57.410835,-152.0597
2005,47,130,-13034,57.51704,-151.656395
2005,47,30,-13035,57.67766,-152.343245
2005,47,30,-13036,57.620255,-152.422695
