year,area_id,species_code,biomass_mt,biomass_var,population_count,population_var
1990,99903,21720,416788.363762,4058397043.61821,212435729,1941170904367232
1990,99903,10130,243054.931493,833907685.816635,729627210,5411730366169618
1990,99903,310,18947.437258,51367025.070917,7130467,8040143365199.88
1990,99903,475,0,0,0,0
1990,99903,21740,843141.048564,9438866737.14172,1384913191,31476304158606300
1990,99903,480,0,0,0,0
1990,99903,10170,7597.77878,11970820.733462,13370252,32784740420186.5
1990,99903,400,9745.118137,11150966.652768,934607,70662808960.62451
1990,99903,20510,213882.874417,1411444178.26763,76885605,119080070933214
1990,99903,483,0,0,0,0
1990,99903,485,0,0,0,0
1990,99903,410,0,0,0,0
1990,99903,420,22316.209413,31067898.819596,1547396,222442590884.875
1990,99903,440,11995.277645,7176703.488627,2047944,557574565141.055
1990,99903,460,0,0,0,0
1990,99903,10200,98224.517032,115154818.237444,263569345,635731263113500
1990,99903,10210,57523.964695,608130586.5104,146078835,3851427661192254
1990,99903,10220,10218.091249,18567447.717432,6018316,9594803995525.14
1990,99903,10250,129.620285,10542.745652,165186,16587731505.0981
1990,99903,30050,44836.892819,86415430.582185,44561242,50795216811431.1
1990,99903,10270,17339.391307,46353036.673131,56218756,486179150511705
1990,99903,10285,5977.174014,4471169.042906,4843624,2846308346097.21
1990,99903,10180,96596.823114,153132006.192915,118212354,191757934122568
1990,99903,30020,19616.189921,4250023.469541,101503196,104710368221252
1990,99903,30060,157295.109951,2221176967.77117,317129408,5754710450191490
1990,99903,30100,14148.922526,35417352.058065,9675760,18880267011720.3
1990,99903,30150,26895.03379,74557985.31314,17938982,28074362279066.69
1990,99903,30560,38333.487391,201789069.01787,144164621,2021391837712029
1990,99903,30576,12681.309413,9085499.243188,3142133,550138838146.926
1990,99903,30475,3285.361229,1302634.248256,3694104,386160474472.073
1990,99903,30535,17664.166041,80922933.30748,77861054,1031586070791389
1990,99903,30420,107076.078891,2068646159.31453,154776750,3587375888193028
1990,99903,30430,27063.962373,195093232.774321,69691796,1543417462605950
1993,99903,30560,23678.444757,58460122.321087,91876405,1015532098648299
1993,99903,30430,29619.507418,268061626.600503,52577224,734124922791613
1993,99903,30576,19471.969122,15474770.797522,5089426,1336790888892.17
1993,99903,30475,3675.419025,1105665.483081,4357136,1314836034065.2
1993,99903,30535,9282.367165,19280479.409568,34710178,248909022125675
1993,99903,30420,104992.106662,1358148032.89279,154606450,2942391846725887
1993,99903,410,0,0,0,0
1993,99903,20510,249510.464528,1598790944.48443,121552541,708849435376310
1993,99903,475,0,0,0,0
1993,99903,480,0,0,0,0
1993,99903,400,476.70651599999997,46530.974192,108746,869671250.719233
1993,99903,440,17802.576745,4738704.332451,2155726,64666052784.2101
