survey,design_year,stratum,area,area_id,subarea_name
47,1984,330,2911.7690000000002,803,CENTRAL GOA - INPFC
47,1984,340,1107.1960000000001,804,EASTERN GOA - INPFC
47,1984,341,1520.577,804,EASTERN GOA - INPFC
47,1984,350,2344.327,804,EASTERN GOA - INPFC
47,1984,351,772.66,804,EASTERN GOA - INPFC
47,1984,410,2005.603,805,WESTERN GOA - INPFC
47,1984,420,1953.21,803,CENTRAL GOA - INPFC
47,1984,430,1744.835,803,CENTRAL GOA - INPFC
47,1984,440,1469.256,804,EASTERN GOA - INPFC
47,1984,450,1033.46,804,EASTERN GOA - INPFC
47,1984,510,1937.22,805,WESTERN GOA - INPFC
47,1984,520,3065.55,803,CENTRAL GOA - INPFC
47,1984,530,3493.8630000000003,803,CENTRAL GOA - INPFC
47,1984,540,1887.412,804,EASTERN GOA - INPFC
47,1984,550,1206.344,804,EASTERN GOA - INPFC
47,2025,14,7938.29,805,WESTERN GOA - NMFS
47,2025,15,37748.01,805,WESTERN GOA - NMFS
47,2025,23,9674.7,803,CENTRAL GOA - NMFS
47,2025,24,29585.83,803,CENTRAL GOA - NMFS
47,2025,36,11866.18,803,CENTRAL GOA - NMFS
47,2025,37,11401.7,803,CENTRAL GOA - NMFS
47,2025,38,24543.04,803,CENTRAL GOA - NMFS
47,2025,42,3379.14,804,EASTERN GOA - NMFS
47,2025,43,7386.99,804,EASTERN GOA - NMFS
47,2025,51,10205.210000000001,804,EASTERN GOA - NMFS
47,2025,113,9166.58,805,WESTERN GOA - NMFS
47,2025,123,18033.53,803,CENTRAL GOA - NMFS
47,2025,135,12386.130000000001,803,CENTRAL GOA - NMFS
47,2025,136,35456.4,803,CENTRAL GOA - NMFS
47,2025,144,11864.210000000001,804,EASTERN GOA - NMFS
47,2025,145,4244.82,804,EASTERN GOA - NMFS
47,2025,152,23917.66,804,EASTERN GOA - NMFS
47,2025,211,5732.88,805,WESTERN GOA - NMFS
47,2025,233,6293.92,803,CENTRAL GOA - NMFS
47,2025,242,7870.85,804,EASTERN GOA - NMFS
47,2025,252,6522.59,804,EASTERN GOA - NMFS
47,2025,321,2678.18,803,CENTRAL GOA - NMFS
47,2025,352,5061.351000000001,804,EASTERN GOA - NMFS
47,2025,511,2294.85,805,WESTERN GOA - NMFS
47,2025,521,3598,803,CENTRAL GOA - NMFS
47,2025,531,2403.51,803,CENTRAL GOA - NMFS
47,2025,541,1140.65,804,EASTERN GOA - NMFS
47,2025,551,1389.72,804,EASTERN GOA - NMFS
47,1984,10,8332.718,805,WESTERN GOA - INPFC
47,1984,11,13681.24,805,WESTERN GOA - INPFC
47,1984,12,6875.823,805,WESTERN GOA - INPFC
47,1984,13,12398.79,805,WESTERN GOA - INPFC
47,1984,20,7940.852000000001,803,CENTRAL GOA - INPFC
47,1984,21,7302.086,803,CENTRAL GOA - INPFC
47,1984,22,10792.01,803,CENTRAL GOA - INPFC
47,1984,30,5766.075000000001,803,CENTRAL GOA - INPFC
47,1984,31,15403.15,803,CENTRAL GOA - INPFC
47,1984,32,9886.880000000001,803,CENTRAL GOA - INPFC
47,1984,33,5260.082,803,CENTRAL GOA - INPFC
47,1984,35,2199.6220000000003,803,CENTRAL GOA - INPFC
47,1984,40,9947.134,804,EASTERN GOA - INPFC
47,1984,41,6714.31,804,EASTERN GOA - INPFC
47,1984,50,6546.325000000001,804,EASTERN GOA - INPFC
47,1984,110,4245.316,805,WESTERN GOA - INPFC
47,1984,111,8153.7390000000005,805,WESTERN GOA - INPFC
47,1984,112,2278.242,805,WESTERN GOA - INPFC
47,1984,120,11104.04,803,CENTRAL GOA - INPFC
47,1984,121,7734.619000000001,803,CENTRAL GOA - INPFC
47,1984,122,5010.738,803,CENTRAL GOA - INPFC
47,1984,130,7911.7750000000005,803,CENTRAL GOA - INPFC
47,1984,131,7336.402,803,CENTRAL GOA - INPFC
47,1984,132,10980.78,803,CENTRAL GOA - INPFC
47,1984,133,12077.01,803,CENTRAL GOA - INPFC
47,1984,134,5025.8060000000005,803,CENTRAL GOA - INPFC
47,1984,140,7345.6050000000005,804,EASTERN GOA - INPFC
47,1984,141,5276.558,804,EASTERN GOA - INPFC
47,1984,142,9031.904,804,EASTERN GOA - INPFC
47,1984,143,7727.531,804,EASTERN GOA - INPFC
47,1984,150,4196.3820000000005,804,EASTERN GOA - INPFC
47,1984,151,6887.844,804,EASTERN GOA - INPFC
47,1984,210,2787.949,805,WESTERN GOA - INPFC
47,1984,220,10017.79,803,CENTRAL GOA - INPFC
47,1984,221,1528.313,803,CENTRAL GOA - INPFC
47,1984,230,6659.46,803,CENTRAL GOA - INPFC
47,1984,231,1622.614,803,CENTRAL GOA - INPFC
47,1984,232,3208.2270000000003,803,CENTRAL GOA - INPFC
47,1984,240,3042.703,804,EASTERN GOA - INPFC
47,1984,241,2127.348,804,EASTERN GOA - INPFC
47,1984,250,1125.262,804,EASTERN GOA - INPFC
47,1984,251,3927.061,804,EASTERN GOA - INPFC
47,1984,310,2531.101,805,WESTERN GOA - INPFC
47,1984,320,1603.961,803,CENTRAL GOA - INPFC
