year,area_id,species_code,sex,age,apop
2019,99903,30060,3,23,596
2019,99903,30060,3,24,447
2019,99903,30060,3,25,894
2019,99903,30060,3,27,149
2019,99903,30060,3,29,149
2019,99903,30060,3,31,149
2019,99903,30060,3,32,298
2019,99903,30060,3,33,149
2019,99903,30060,3,34,149
2019,99903,30060,3,39,149
2019,99903,30060,3,40,149
2019,99903,30060,3,49,149
2019,99903,30051,1,2,100710
2019,99903,30051,1,3,613374
2019,99903,30051,1,4,111141
2019,99903,30051,1,5,906459
2019,99903,30051,1,6,1704165
2019,99903,30051,1,7,852248
2019,99903,30051,1,8,1793799
2019,99903,30051,1,9,1740218
2019,99903,30051,1,10,995702
2019,99903,30051,1,11,663914
2019,99903,30051,1,12,581919
2019,99903,30051,1,13,1264168
2019,99903,30051,1,14,815856
2019,99903,30051,1,15,380603
2019,99903,30051,1,16,65220
2019,99903,30051,1,17,50837
2019,99903,30051,1,18,50837
2019,99903,30051,1,19,113262
2019,99903,30051,1,21,89568
2019,99903,30051,1,22,32610
2019,99903,30051,1,23,47971
2019,99903,30051,1,25,274178
2019,99903,30051,1,33,30941
2019,99903,30051,1,42,25517
2019,99903,30051,1,44,30941
2019,99903,30051,1,54,79455
2019,99903,30051,1,108,59086
2019,99903,30051,2,3,671862
2019,99903,30051,2,4,328838
2019,99903,30051,2,5,796759
2019,99903,30051,2,6,1099342
2019,99903,30051,2,7,1745876
2019,99903,30051,2,8,2219022
2019,99903,30051,2,9,2396793
2019,99903,30051,2,10,888371
2019,99903,30051,2,11,412059
2019,99903,30051,2,12,1110835
2019,99903,30051,2,13,277357
2019,99903,30051,2,14,207891
2019,99903,30051,2,15,345803
2019,99903,30051,2,16,142209
2019,99903,30051,2,17,92716
2019,99903,30051,2,18,340785
2019,99903,30051,2,20,167462
2019,99903,30051,2,21,89363
2019,99903,30051,2,22,100252
2019,99903,30051,2,23,91381
2019,99903,30051,2,24,189675
2019,99903,30051,2,25,38466
2019,99903,30051,2,27,13473
2019,99903,30051,2,29,13473
2019,99903,30051,2,30,122804
2019,99903,30051,2,31,8146
2019,99903,30051,2,33,200666
2019,99903,30051,2,40,13473
2019,99903,30051,2,62,23236
2019,99903,30051,3,2,119605
2019,99903,30051,3,3,126872
2019,99903,30051,3,4,7173
2019,99903,30051,3,5,22635
2019,99903,30051,3,6,15045
2019,99903,30420,1,3,40271
2019,99903,30420,1,5,73436
2019,99903,30420,1,6,101134
2019,99903,30420,1,7,316282
2019,99903,30420,1,8,651148
2019,99903,30420,1,9,704153
2019,99903,30420,1,10,1687023
2019,99903,30420,1,11,1092133
2019,99903,30420,1,12,1599226
2019,99903,30420,1,13,1811339
2019,99903,30420,1,14,595596
2019,99903,30420,1,15,242299
2019,99903,30420,1,16,1373843
2019,99903,30420,1,17,1408526
2019,99903,30420,1,18,1433380
2019,99903,30052,1,3,213373
2019,99903,30052,1,4,214748
2019,99903,30052,1,5,77536
2019,99903,30052,1,6,195619
2019,99903,30052,1,7,252611
2019,99903,30052,1,8,214699
2019,99903,30052,1,9,816856
2019,99903,30052,1,10,446135
2019,99903,30052,1,11,576522
2019,99903,30052,1,12,250136
2019,99903,30052,1,13,441692
2019,99903,30052,1,14,1548490
2019,99903,30052,1,15,110662
2019,99903,30052,1,16,3919037
2019,99903,30052,1,17,2156718
2019,99903,30052,1,18,276099
2019,99903,30052,1,19,1199076
2019,99903,30052,1,20,66715
2019,99903,30052,1,21,490690
2019,99903,30052,1,22,407857
2019,99903,30052,1,24,37898
2019,99903,30052,1,25,16390
2019,99903,30052,1,27,74244
2019,99903,30052,1,28,868231
2019,99903,30052,1,30,407006
2019,99903,30052,1,35,16390
2019,99903,30052,1,36,16158
2019,99903,30052,1,37,122466
2019,99903,30052,2,3,146876
2019,99903,30052,2,4,273275
2019,99903,30052,2,5,218069
2019,99903,30052,2,6,24578
2019,99903,30052,2,7,101864
2019,99903,30052,2,8,527154
2019,99903,30052,2,9,131843
2019,99903,30052,2,10,1103830
2019,99903,30052,2,11,653306
2019,99903,30052,2,12,902798
2019,99903,30052,2,13,1110226
2019,99903,30052,2,14,134588
2019,99903,30052,2,15,350812
2019,99903,30052,2,16,996018
2019,99903,30052,2,17,125299
2019,99903,30052,2,18,453397
2019,99903,30052,2,19,1726127
2019,99903,30052,2,20,789549
2019,99903,30052,2,21,169391
2019,99903,30052,2,22,356441
2019,99903,30052,2,24,230471
2019,99903,30052,2,25,196582
2019,99903,30052,2,26,3186310
2019,99903,30052,2,28,1205159
2019,99903,30052,2,30,32316
2019,99903,30052,2,31,40395
2019,99903,30052,2,42,16158
2019,99903,30052,3,2,34028
2019,99903,30052,3,3,111398
2019,99903,30052,3,4,34028
2019,99903,30052,3,5,26327
2019,99903,30052,3,6,5671
2019,99903,30052,3,8,5671
2019,99903,30420,1,19,2115009
2019,99903,30420,1,20,2369253
2019,99903,30420,1,21,2162873
2019,99903,30420,1,22,1845329
2019,99903,30420,1,23,1507829
2019,99903,30420,1,24,2217935
2019,99903,30420,1,25,936346
2019,99903,30420,1,26,473465
2019,99903,30420,1,27,1036839
2019,99903,30420,1,28,1042680
2019,99903,30420,1,29,701679
2019,99903,30420,1,31,681630
2019,99903,30420,1,32,1593070
2019,99903,30420,1,33,714044
2019,99903,30420,1,35,1333476
2019,99903,30420,1,36,231166
2019,99903,30420,1,37,477037
2019,99903,30420,1,38,1282710
2019,99903,30420,1,39,121583
2019,99903,30420,1,40,477037
2019,99903,30420,1,41,462333
2019,99903,30420,1,42,501350
2019,99903,30420,1,43,736572
2019,99903,30420,1,44,943425
2019,99903,30420,1,45,468173
2019,99903,30420,1,46,501350
2019,99903,30420,1,49,892051
2019,99903,30420,1,50,657272
2019,99903,30420,1,52,477037
2019,99903,30420,1,54,231166
2019,99903,30420,1,58,237007
2019,99903,30420,2,5,229922
2019,99903,30420,2,6,77856
2019,99903,30420,2,7,128395
2019,99903,30420,2,8,354702
2019,99903,30420,2,9,1331242
2019,99903,30420,2,10,2237077
2019,99903,30420,2,11,319160
2019,99903,30420,2,12,770060
2019,99903,30420,2,13,730378
2019,99903,30420,2,14,319160
2019,99903,30420,2,15,1047186
2019,99903,30420,2,16,1238106
2019,99903,30420,2,17,1874819
2019,99903,30420,2,18,3005698
2019,99903,30420,2,19,2566307
2019,99903,30420,2,20,1660758
2019,99903,30420,2,21,5930526
2019,99903,30420,2,22,1415815
2019,99903,30420,2,23,3246263
2019,99903,30420,2,24,2887921
2019,99903,30420,2,25,2930509
2019,99903,30420,2,26,1981496
2019,99903,30420,2,27,231586
2019,99903,30420,2,28,522569
2019,99903,30420,2,29,912403
2019,99903,30420,2,30,559703
2019,99903,30420,2,31,860949
2019,99903,30420,2,32,1113088
2019,99903,30420,2,33,2028495
2019,99903,30420,2,34,1818984
2019,99903,30420,2,35,1537530
2019,99903,30420,2,36,441859
2019,99903,30420,2,37,522569
2019,99903,30420,2,38,1750807
2019,99903,30420,2,39,1079996
2019,99903,30420,2,40,1956001
2019,99903,30420,2,41,1720690
2019,99903,30420,2,42,616689
2019,99903,30420,2,43,883717
2019,99903,30420,2,44,1268810
2019,99903,30420,2,45,362105
2019,99903,30420,2,46,181052
2019,99903,30420,2,47,539115
2019,99903,30420,2,48,181052
2019,99903,30420,2,49,411218
2019,99903,30420,2,51,802925
2019,99903,30420,2,52,543157
2019,99903,30420,2,54,244261
2019,99903,30420,2,56,181052
2019,99903,30420,2,57,522569
2019,99903,30420,3,3,40271
2019,99903,21740,1,1,64189553
2019,99903,21740,1,2,57335176
2019,99903,21740,1,3,31126257
2019,99903,21740,1,4,9212991
2019,99903,21740,1,5,6146027
2019,99903,21740,1,6,20895215
2019,99903,21740,1,7,75968962
2019,99903,21740,1,8,10509860
2019,99903,21740,1,9,1798841
2019,99903,21740,1,11,346816
2019,99903,21740,2,1,59551125
2019,99903,21740,2,2,55576749
2019,99903,21740,2,3,43488194
2019,99903,21740,2,4,17015923
2019,99903,21740,2,5,6027313
2019,99903,21740,2,6,11387505
2019,99903,21740,2,7,116097899
2019,99903,21740,2,8,10986758
2019,99903,21740,2,9,1696649
2019,99903,21740,2,10,83884
2019,99903,21740,3,1,51877508
2019,99903,21740,3,2,2689139
2019,99903,21740,3,3,170704
2019,99903,21740,3,4,90139
2019,99903,21740,3,5,39560
2019,99903,21740,3,6,150269
2019,99903,21740,3,7,395782
2019,99903,21740,3,8,59529
2019,99903,21740,3,9,3674
2019,99903,30060,1,1,760129
2019,99903,30060,1,2,40542259
2019,99903,30060,1,3,96054218
2019,99903,30060,1,4,18840267
2019,99903,30060,1,5,47139481
2019,99903,30060,1,6,45537453
2019,99903,30060,1,7,38076903
2019,99903,30060,1,8,36202003
2019,99903,30060,1,9,60699497
2019,99903,30060,1,10,77616202
2019,99903,30060,1,11,64533510
2019,99903,30060,1,12,59508027
2019,99903,30060,1,13,36779737
2019,99903,30060,1,14,22950624
2019,99903,30060,1,15,29650630
2019,99903,30060,1,16,28703649
2019,99903,30060,1,17,37293439
2019,99903,30060,1,18,32573481
2019,99903,30060,1,19,28208903
2019,99903,30060,1,20,24979662
2019,99903,30060,1,21,35232990
2019,99903,30060,1,22,24043318
2019,99903,30060,1,23,16444752
2019,99903,30060,1,24,29770520
2019,99903,30060,1,25,27100952
2019,99903,30060,1,26,14546183
2019,99903,30060,1,27,12696940
2019,99903,30060,1,28,14054006
2019,99903,30060,1,29,5890421
2019,99903,30060,1,30,5056070
2019,99903,30060,1,31,14155762
2019,99903,30060,1,32,9647829
2019,99903,30060,1,33,7501412
2019,99903,30060,1,34,4547270
2019,99903,30060,1,35,4350621
2019,99903,30060,1,36,3061241
2019,99903,30060,1,37,2019460
2019,99903,30060,1,38,1220288
2019,99903,30060,1,39,1658062
2019,99903,30060,1,40,1658062
2019,99903,30060,1,41,1392322
2019,99903,30060,1,48,131954
2019,99903,30060,1,49,1658062
2019,99903,30060,1,50,627138
2019,99903,30060,1,57,1694412
2019,99903,30060,1,59,1668920
2019,99903,30060,2,1,1081756
2019,99903,30060,2,2,24836815
2019,99903,30060,2,3,82294381
2019,99903,30060,2,4,16794743
2019,99903,30060,2,5,53946737
2019,99903,30060,2,6,26123673
2019,99903,30060,2,7,54475530
2019,99903,30060,2,8,25737278
2019,99903,30060,2,9,74488446
2019,99903,30060,2,10,49901619
2019,99903,30060,2,11,66823298
2019,99903,30060,2,12,56123032
2019,99903,30060,2,13,46925727
2019,99903,30060,2,14,31487112
2019,99903,30060,2,15,7095001
2019,99903,30060,2,16,36202345
2019,99903,30060,2,17,27778376
2019,99903,30060,2,18,28361718
2019,99903,30060,2,19,38741190
2019,99903,30060,2,20,25871671
2019,99903,30060,2,21,32333153
2019,99903,30060,2,22,34892066
2019,99903,30060,2,23,18154123
2019,99903,30060,2,24,20122907
2019,99903,30060,2,25,22977065
2019,99903,30060,2,26,8192283
2019,99903,30060,2,27,19034205
2019,99903,30060,2,28,9677811
2019,99903,30060,2,29,6599773
2019,99903,30060,2,30,14691709
2019,99903,30060,2,31,8227270
2019,99903,30060,2,32,6551929
2019,99903,30060,2,33,4076726
2019,99903,30060,2,34,2987342
