year,area_id,species_code,sex,length,lpop
2019,803,10110,1,10,58562
2019,803,10110,1,11,72387
2019,803,10110,1,12,53299
2019,803,10110,1,13,274893
2019,803,10110,1,14,412187
2019,803,10110,1,15,681131
2019,803,10110,1,16,583009
2019,803,10110,1,17,991163
2019,803,10110,1,18,1891445
2019,803,10110,1,19,5073754
2019,803,10110,1,20,7132677
2019,803,10110,1,21,12248832
2019,803,10110,1,22,11826918
2019,803,10110,1,23,15754305
2019,803,10110,1,24,13708347
2019,803,10110,1,25,11629365
2019,803,10110,1,26,9724225
2019,803,10110,1,27,10484061
2019,803,10110,1,28,13358149
2019,803,10110,1,29,14685237
2019,803,10110,1,30,17223110
2019,803,10110,1,31,14502011
2019,803,10110,1,32,14881277
2019,803,10110,1,33,11732910
2019,803,10110,1,34,13267331
2019,803,10110,1,35,11554874
2019,803,10110,1,36,14648693
2019,803,10110,1,37,14582664
2019,803,10110,1,38,14901290
2019,803,10110,1,39,16028252
2019,803,10110,1,40,18689897
2019,803,10110,1,41,16227031
2019,803,10110,1,42,17094062
2019,803,10110,1,43,11663777
2019,803,10110,1,44,11935712
2019,803,10110,1,48,3698077
2019,803,10110,1,45,7887815
2019,803,10110,1,46,5862739
2019,803,10110,1,47,5628547
2019,803,10110,1,49,2240125
2019,803,10110,1,50,1434290
2019,803,10110,1,51,570401
2019,803,10110,1,52,401409
2019,803,10110,1,53,143393
2019,803,10110,1,54,221550
2019,803,10110,1,55,63699
2019,803,10110,1,56,35390
2019,803,10110,1,57,127397
2019,803,10110,1,59,65793
2019,803,10110,1,60,63699
2019,803,10110,1,61,90231
2019,803,10110,1,63,75597
2019,803,10110,2,11,52681
2019,803,10110,2,12,205505
2019,803,10110,2,13,520608
2019,803,10110,2,14,841849
2019,803,10110,2,15,994942
2019,803,10110,2,16,1007181
2019,803,10110,2,17,1682493
2019,803,10110,2,18,2895495
2019,803,10110,2,19,6864872
2019,803,10110,2,20,14392544
2019,803,10110,2,21,17814143
2019,803,10110,2,22,20930380
2019,803,10110,2,23,23146500
2019,803,10110,2,24,21346489
2019,803,10110,2,25,19753472
2019,803,10110,2,26,18906410
2019,803,10110,2,27,18123968
2019,803,10110,2,28,19685049
2019,803,10110,2,29,20766236
2019,803,10110,2,30,25055683
2019,803,10110,2,31,23212693
2019,803,10110,2,32,23944165
2019,803,10110,2,33,21529882
2019,803,10110,2,34,20162048
2019,803,10110,2,35,19761230
2019,803,10110,2,36,18649980
2019,803,10110,2,37,18873390
2019,803,10110,2,38,18573672
2019,803,10110,2,39,17992628
2019,803,10110,2,40,17422927
2019,803,10110,2,41,19403919
2019,803,10110,2,42,17765112
2019,803,10110,2,43,16065708
2019,803,10110,2,44,20047232
2019,803,10110,2,45,17062762
2019,803,10110,2,46,20775104
2019,803,10110,2,47,20869727
2019,803,10110,2,48,23278092
2019,803,10110,2,49,21008742
2019,803,10110,2,50,17123750
2019,803,10110,2,51,13090009
2019,803,10110,2,52,12738605
2019,803,10110,2,53,8350386
2019,803,10110,2,54,8330502
2019,803,10110,2,55,6230134
2019,803,10110,2,56,5517668
2019,803,10110,2,57,3691360
2019,803,10110,2,58,5373074
2019,803,10110,2,59,2443524
2019,803,10110,2,60,3104071
2019,803,10110,2,61,3301533
2019,803,10110,2,62,2421464
2019,803,10110,2,63,2603064
2019,803,10110,2,64,2054531
2019,803,10110,2,65,2071157
2019,803,10110,2,66,1477173
2019,803,10110,2,67,1371257
2019,803,10110,2,68,1124065
2019,803,10110,2,69,667211
2019,803,10110,2,70,589139
2019,803,10110,2,71,397272
2019,803,10110,2,72,221142
2019,803,10110,2,73,276395
2019,803,10110,2,74,79190
2019,803,10110,2,75,49886
2019,803,10110,2,76,39419
2019,803,10110,2,77,21776
2019,803,10110,2,78,48176
2019,803,10110,2,80,25875
2019,803,10110,2,81,21776
2019,803,10110,2,82,17942
2019,803,10110,2,83,57099
2019,803,10110,3,9,33391
2019,803,10110,3,10,16696
2019,803,10110,3,11,279070
2019,803,10110,3,12,279070
2019,803,10110,3,13,196417
2019,803,10110,3,14,83180
2019,803,10110,3,15,40462
2019,803,10110,3,16,16696
2019,803,10110,3,17,28579
2019,803,10110,3,18,15828
2019,803,10110,3,20,12007
2019,803,10110,3,22,17942
2019,803,10110,3,23,38066
2019,803,10110,3,24,12007
2019,803,10130,1,12,253221
2019,803,10130,1,6,17439
2019,803,10130,1,10,21056
2019,803,10130,1,11,122199
2019,803,10130,1,13,56281
2019,803,10130,1,14,449627
2019,803,10130,1,15,1627590
2019,803,10130,1,16,1161525
2019,803,10130,1,17,1861323
2019,803,10130,1,18,2952536
2019,803,10130,1,19,3400891
2019,803,10130,1,20,4685995
2019,803,10130,1,21,4394265
2019,803,10130,1,22,6555401
2019,803,10130,1,23,5364561
2019,803,10130,1,24,6841892
2019,803,10130,1,25,4968672
2019,803,10130,1,26,6516389
2019,803,10130,1,27,8118133
2019,803,10130,1,28,7914888
2019,803,10130,1,29,10370502
2019,803,10130,1,33,12054916
2019,803,10130,1,30,14411671
2019,803,10130,1,31,12269090
2019,803,10130,1,32,11781144
2019,803,10130,1,34,11305213
2019,803,10130,1,35,10632446
2019,803,10130,1,36,8797963
2019,803,10130,1,37,5686171
2019,803,10130,1,38,3234048
2019,803,10130,1,39,1356304
2019,803,10130,1,40,1098924
2019,803,10130,1,41,327128
2019,803,10130,1,42,285029
2019,803,10130,1,43,22671
2019,803,10130,1,44,41120
2019,803,10130,1,46,12975
2019,803,10130,2,12,168077
2019,803,10130,2,13,283278
2019,803,10130,2,14,694536
2019,803,10130,2,15,747863
2019,803,10130,2,16,839710
2019,803,10130,2,17,1805263
2019,803,10130,2,18,2248624
2019,803,10130,2,19,3663499
2019,803,10130,2,20,3771421
2019,803,10130,2,21,3900997
2019,803,10130,2,22,3938440
2019,803,10130,2,23,3171098
2019,803,10130,2,24,4409428
2019,803,10130,2,25,3110118
2019,803,10130,2,26,4543706
2019,803,10130,2,27,4641991
2019,803,10130,2,28,4543604
2019,803,10130,2,29,5468811
2019,803,10130,2,30,5643770
2019,803,10130,2,31,6118513
2019,803,10130,2,32,6424582
2019,803,10130,2,33,8597236
2019,803,10130,2,34,9087672
2019,803,10130,2,35,9774042
2019,803,10130,2,36,8155360
2019,803,10130,2,37,7941071
2019,803,10130,2,38,8173224
2019,803,10130,2,39,6826673
2019,803,10130,2,40,5551498
2019,803,10130,2,41,4838736
2019,803,10130,2,42,3059991
2019,803,10130,2,43,1631118
2019,803,10130,2,44,1559233
2019,803,10130,2,45,880595
2019,803,10130,2,46,610913
2019,803,10130,2,47,304596
2019,803,10130,2,48,416805
2019,803,10130,2,51,14481
2019,803,10130,1,50,25798
2019,803,10130,2,49,382450
2019,803,10130,2,50,14481
2019,803,10130,3,7,122240
2019,803,10130,3,8,82177
2019,803,10130,3,9,227311
2019,803,10130,3,10,209674
2019,803,10130,3,11,635350
2019,803,10130,3,12,815337
2019,803,10130,3,13,850742
2019,803,10130,3,14,484253
2019,803,10130,3,15,448612
2019,803,10130,3,16,75444
2019,803,10130,3,17,15573
2019,803,10130,3,18,148508
2019,803,10130,3,21,297017
2019,803,10130,3,22,148508
2019,803,10130,3,23,222763
2019,803,10130,3,24,74254
2019,803,10130,3,25,297017
2019,803,10130,3,26,371271
2019,803,10130,3,27,297017
2019,803,10130,3,28,148508
2019,803,10130,3,29,148508
2019,803,10130,3,30,445525
2019,803,10130,3,31,148508
2019,803,10130,3,32,222763
2019,803,10130,3,33,519780
2019,803,10130,3,34,742542
2019,803,10130,3,35,297017
2019,803,10130,3,36,297017
2019,803,10130,3,37,297017
2019,803,10130,3,38,74254
2019,803,10130,3,40,74254
2019,803,10130,3,41,74254
2019,803,10130,3,42,74254
2019,803,10130,3,43,74254
2019,803,10130,3,44,74254
2019,803,10180,1,15,16566
2019,803,10180,1,17,16566
2019,803,10180,1,18,29951
2019,803,10180,1,19,75943
2019,803,10180,1,20,16566
2019,803,10180,1,21,132883
2019,803,10180,1,22,297448
2019,803,10180,1,23,247630
2019,803,10180,1,24,200977
2019,803,10180,1,25,291166
2019,803,10180,1,26,205132
2019,803,10180,1,27,386291
2019,803,10180,1,28,416985
2019,803,10180,1,29,626839
2019,803,10180,1,30,605201
2019,803,10180,1,31,742294
2019,803,10180,1,32,602513
2019,803,10180,1,33,342923
2019,803,10180,1,34,291633
2019,803,10180,1,35,400289
2019,803,10180,1,36,479576
2019,803,10180,1,37,465255
2019,803,10180,1,38,558179
2019,803,10180,1,39,372862
2019,803,10180,1,40,360342
2019,803,10180,1,41,684819
2019,803,10180,1,42,971422
2019,803,10180,1,43,943073
2019,803,10180,1,44,877054
2019,803,10180,1,45,567615
2019,803,10180,1,46,547972
2019,803,10180,1,50,163553
2019,803,10180,1,47,232627
2019,803,10180,1,48,310014
2019,803,10180,1,49,183544
2019,803,10180,1,52,16120
2019,803,10180,1,53,45661
2019,803,10180,1,54,32240
2019,803,10180,2,18,38899
2019,803,10180,2,19,43941
2019,803,10180,2,20,32956
2019,803,10180,2,21,44926
2019,803,10180,2,22,130591
2019,803,10180,2,23,394617
2019,803,10180,2,24,236657
2019,803,10180,2,25,358728
2019,803,10180,2,26,281501
2019,803,10180,2,27,181921
2019,803,10180,2,28,254972
2019,803,10180,2,29,397045
2019,803,10180,2,30,387002
2019,803,10180,2,31,685914
2019,803,10180,2,32,522789
2019,803,10180,2,33,399938
2019,803,10180,2,34,414477
2019,803,10180,2,35,476901
2019,803,10180,2,36,180131
2019,803,10180,2,37,141127
2019,803,10180,2,38,214000
2019,803,10180,2,39,192663
2019,803,10180,2,40,84213
2019,803,10180,2,41,108008
2019,803,10180,2,42,248011
2019,803,10180,2,43,306365
2019,803,10180,2,44,344574
2019,803,10180,2,45,384817
2019,803,10180,2,46,354833
2019,803,10180,2,47,198785
2019,803,10180,2,48,184162
2019,803,10180,2,49,561767
2019,803,10180,2,50,230396
2019,803,10180,2,51,185719
2019,803,10180,2,52,123066
2019,803,10180,2,53,263809
2019,803,10180,2,54,322982
2019,803,10180,2,55,94072
2019,803,10180,2,56,158768
2019,803,10180,2,57,116464
2019,803,10180,2,58,54558
2019,803,10180,2,59,12883
2019,803,10180,2,60,41936
2019,803,10180,2,61,46229
2019,803,10180,2,62,53528
2019,803,10180,3,25,18082
2019,803,10180,3,27,34435
2019,803,10180,3,35,17145
2019,803,10180,3,37,102869
2019,803,10180,3,38,68579
2019,803,10180,3,39,68579
2019,803,10180,3,40,68579
2019,803,10180,3,41,17145
2019,803,10180,3,42,51434
2019,803,10180,3,45,17145
2019,803,10180,3,49,17145
2019,803,10200,1,13,25517
2019,803,10200,1,14,68637
2019,803,10200,1,15,69543
2019,803,10200,1,16,107490
2019,803,10200,1,17,311904
2019,803,10200,1,18,262108
2019,803,10200,1,19,800174
2019,803,10200,1,20,1227244
2019,803,10200,1,21,1481099
2019,803,10200,1,22,1816641
2019,803,10200,1,23,2560761
2019,803,10200,1,27,3082167
2019,803,10200,1,24,2269592
2019,803,10200,1,25,2124732
2019,803,10200,1,26,2586406
2019,803,10200,1,28,3336744
2019,803,10200,1,29,2576377
2019,803,10200,1,30,3348178
2019,803,10200,1,31,3682673
2019,803,10200,1,32,3761305
2019,803,10200,1,33,3288691
2019,803,10200,1,34,2983660
2019,803,10200,1,35,2980431
2019,803,10200,1,36,4135179
2019,803,10200,1,37,4398229
2019,803,10200,1,38,4498685
2019,803,10200,1,39,5626291
2019,803,10200,1,40,5239870
2019,803,10200,1,41,4462492
2019,803,10200,1,42,3375955
2019,803,10200,1,43,1972219
2019,803,10200,1,44,900529
2019,803,10200,1,45,447666
2019,803,10200,1,46,94584
2019,803,10200,1,47,205739
2019,803,10200,1,48,196796
2019,803,10200,1,49,15553
2019,803,10200,1,51,16214
2019,803,10200,2,12,15917
